DateTime,Sourceip,Destinationip,Sourceport,Destinationport,OS,Flags,Protocol,TTL,Length,Comments
02-08-2022 19:52:15,142.250.82.149,192.168.43.6,19305,60819,O,N,UDP,116,86,[SAFE]
02-08-2022 19:52:15,192.168.43.6,142.250.82.149,62872,19305,W,N,UDP,128,112,[SAFE]
02-08-2022 19:52:15,142.250.82.149,192.168.43.6,19305,62872,O,N,UDP,116,152,[SAFE]
02-08-2022 19:52:15,142.250.82.149,192.168.43.6,19305,62872,O,N,UDP,116,153,[SAFE]
02-08-2022 19:52:15,142.250.82.149,192.168.43.6,19305,62872,O,N,UDP,116,150,[SAFE]
02-08-2022 19:52:15,142.250.82.149,192.168.43.6,19305,62872,O,N,UDP,116,159,[SAFE]
02-08-2022 19:52:15,192.168.43.6,142.250.82.149,62872,19305,W,N,UDP,128,67,[SAFE]
02-08-2022 19:52:15,142.250.82.149,192.168.43.6,19305,62872,O,N,UDP,116,151,[SAFE]
02-08-2022 19:52:15,192.168.43.6,142.250.82.149,60819,19305,W,N,UDP,128,102,[SAFE]
02-08-2022 19:52:15,142.250.82.149,192.168.43.6,19305,62872,O,N,UDP,116,146,[SAFE]
02-08-2022 19:52:15,142.250.82.149,192.168.43.6,19305,62872,O,N,UDP,116,143,[SAFE]
02-08-2022 19:52:15,192.168.43.6,142.250.82.149,62872,19305,W,N,UDP,128,74,[SAFE]
02-08-2022 19:52:15,142.250.82.149,192.168.43.6,19305,62872,O,N,UDP,116,165,[SAFE]
02-08-2022 19:52:16,142.250.82.149,192.168.43.6,19305,62872,O,N,UDP,116,86,[SAFE]
02-08-2022 19:52:16,142.250.82.149,192.168.43.6,19305,62872,O,N,UDP,116,153,[SAFE]
02-08-2022 19:52:16,192.168.43.6,142.250.193.74,49261,443,W,N,UDP,128,61,[PORT]
02-08-2022 19:52:16,142.250.82.149,192.168.43.6,19305,62872,O,N,UDP,116,149,[SAFE]
02-08-2022 19:52:16,192.168.43.6,142.250.82.149,60819,19305,W,N,UDP,128,1234,[SAFE]
02-08-2022 19:52:16,192.168.43.6,142.250.82.149,60819,19305,W,N,UDP,128,1234,[SAFE]
02-08-2022 19:52:16,192.168.43.6,142.250.82.149,60819,19305,W,N,UDP,128,1234,[SAFE]
02-08-2022 19:52:16,192.168.43.6,142.250.82.149,60819,19305,W,N,UDP,128,1234,[SAFE]
02-08-2022 19:52:16,192.168.43.6,142.250.82.149,60819,19305,W,N,UDP,128,1234,[SAFE]
02-08-2022 19:52:16,142.250.82.149,192.168.43.6,19305,62872,O,N,UDP,116,141,[SAFE]
02-08-2022 19:52:16,192.168.43.6,142.250.82.149,60819,19305,W,N,UDP,128,1234,[SAFE]
02-08-2022 19:52:16,192.168.43.6,142.250.82.149,60819,19305,W,N,UDP,128,1234,[SAFE]
02-08-2022 19:52:16,192.168.43.6,142.250.82.149,60819,19305,W,N,UDP,128,1234,[SAFE]
02-08-2022 19:52:16,192.168.43.6,142.250.82.149,60819,19305,W,N,UDP,128,1234,[SAFE]
02-08-2022 19:52:16,192.168.43.6,142.250.82.149,60819,19305,W,N,UDP,128,1234,[SAFE]
