192.168.1.2,142.250.82.149,65200,19305,W,PA,TCP,128,948,2022/02/09,22:09:13,[FLAG]
142.250.82.149,192.168.1.2,19305,65200,O,PA,TCP,120,42,2022/02/09,22:09:13,[FLAG]
142.250.82.149,192.168.1.2,19305,65200,O,PA,TCP,120,98,2022/02/09,22:09:13,[FLAG]
192.168.1.2,142.250.82.149,65200,19305,W,A,TCP,128,40,2022/02/09,22:09:13,NULL
142.250.82.149,192.168.1.2,19305,65200,O,A,TCP,120,40,2022/02/09,22:09:13,NULL
142.250.82.149,192.168.1.2,19305,65200,O,A,TCP,120,40,2022/02/09,22:09:13,NULL
142.250.192.206,192.168.1.2,443,65207,O,PA,TCP,120,425,2022/02/09,22:09:13,[PORT][FLAG]
142.250.192.206,192.168.1.2,443,65207,O,PA,TCP,120,291,2022/02/09,22:09:14,[PORT][FLAG]
192.168.1.2,142.250.192.206,65207,443,W,A,TCP,128,40,2022/02/09,22:09:14,[PORT]
142.250.192.206,192.168.1.2,443,65207,O,PA,TCP,120,111,2022/02/09,22:09:14,[PORT][FLAG]
142.250.192.206,192.168.1.2,443,65207,O,PA,TCP,120,79,2022/02/09,22:09:15,[PORT][FLAG]
192.168.1.2,142.250.192.206,65207,443,W,A,TCP,128,40,2022/02/09,22:09:15,[PORT]
192.168.1.2,142.250.192.206,65207,443,W,PA,TCP,128,79,2022/02/09,22:09:15,[PORT][FLAG]
142.250.82.149,192.168.1.2,19305,65200,O,PA,TCP,120,42,2022/02/09,22:09:16,[FLAG]
142.250.82.149,192.168.1.2,19305,65200,O,PA,TCP,120,98,2022/02/09,22:09:16,[FLAG]
192.168.1.2,142.250.82.149,65200,19305,W,A,TCP,128,40,2022/02/09,22:09:16,NULL
142.250.192.206,192.168.1.2,443,65207,O,A,TCP,120,40,2022/02/09,22:09:16,[PORT]
192.168.1.2,142.250.82.149,65200,19305,W,PA,TCP,128,300,2022/02/09,22:09:16,[FLAG]
142.250.82.149,192.168.1.2,19305,65200,O,A,TCP,120,40,2022/02/09,22:09:17,NULL
192.168.1.2,142.250.82.149,65200,19305,W,PA,TCP,128,300,2022/02/09,22:09:17,[FLAG]
142.250.82.149,192.168.1.2,19305,65200,O,A,TCP,120,40,2022/02/09,22:09:17,NULL
192.168.1.2,142.250.82.149,65200,19305,W,PA,TCP,128,300,2022/02/09,22:09:17,[FLAG]
142.250.82.149,192.168.1.2,19305,65200,O,A,TCP,120,40,2022/02/09,22:09:17,NULL
142.250.82.149,192.168.1.2,19305,65200,O,PA,TCP,120,42,2022/02/09,22:09:17,[FLAG]
142.250.82.149,192.168.1.2,19305,65200,O,PA,TCP,120,102,2022/02/09,22:09:18,[FLAG]
192.168.1.2,142.250.82.149,65200,19305,W,A,TCP,128,40,2022/02/09,22:09:18,NULL
192.168.1.2,142.250.82.149,65200,19305,W,PA,TCP,128,300,2022/02/09,22:09:18,[FLAG]
142.250.82.149,192.168.1.2,19305,65200,O,A,TCP,120,40,2022/02/09,22:09:18,NULL
192.168.1.2,142.250.82.149,65200,19305,W,PA,TCP,128,300,2022/02/09,22:09:18,[FLAG]
192.168.1.2,142.250.82.149,65156,19305,W,PA,TCP,128,140,2022/02/09,22:09:19,[FLAG]
142.250.82.149,192.168.1.2,19305,65200,O,A,TCP,120,40,2022/02/09,22:09:19,NULL
142.250.82.149,192.168.1.2,19305,65156,O,PA,TCP,120,42,2022/02/09,22:09:19,[FLAG]
142.250.82.149,192.168.1.2,19305,65156,O,PA,TCP,120,130,2022/02/09,22:09:19,[FLAG]
192.168.1.2,142.250.82.149,65156,19305,W,A,TCP,128,40,2022/02/09,22:09:20,NULL
192.168.1.2,142.250.82.149,65200,19305,W,PA,TCP,128,300,2022/02/09,22:09:20,[FLAG]
142.250.82.149,192.168.1.2,19305,65200,O,PA,TCP,120,42,2022/02/09,22:09:20,[FLAG]
142.250.82.149,192.168.1.2,19305,65200,O,PA,TCP,120,98,2022/02/09,22:09:20,[FLAG]
192.168.1.2,142.250.82.149,65200,19305,W,A,TCP,128,40,2022/02/09,22:09:21,NULL
142.250.82.149,192.168.1.2,19305,65156,O,PA,TCP,120,42,2022/02/09,22:09:21,[FLAG]
