Sourceip,Destinationip,Sourceport,Destinationport,OS,Flags,Protocol,TTL,Length,Date,Time,Comments
192.168.29.1,192.168.29.168,37126,7,L,NULL,UDP,64,29,2022/02/09,14:58:11,NULL
192.168.29.168,192.168.29.1,NULL,NULL,W,NULL,NULL,128,57,2022/02/09,14:58:11,NULL
NULL,NULL,56116,443,NULL,NULL,UDP,NULL,NULL,2022/02/09,14:58:11,[PORT]
192.168.29.1,192.168.29.239,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2022/02/09,14:58:12,NULL
NULL,NULL,443,56116,NULL,NULL,UDP,NULL,NULL,2022/02/09,14:58:12,[PORT]
192.168.29.1,192.168.29.239,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2022/02/09,14:58:12,NULL
192.168.29.212,192.168.29.255,57621,57621,L,NULL,UDP,64,68,2022/02/09,14:58:13,NULL
192.168.29.1,192.168.29.239,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2022/02/09,14:58:13,NULL
NULL,NULL,56116,443,NULL,NULL,UDP,NULL,NULL,2022/02/09,14:58:14,[PORT]
NULL,NULL,443,56116,NULL,NULL,UDP,NULL,NULL,2022/02/09,14:58:14,[PORT]
192.168.29.168,2.58.149.164,56400,8000,W,PA,TCP,128,44,2022/02/09,14:58:15,[FLAG]
2.58.149.164,192.168.29.168,8000,56400,O,A,TCP,113,40,2022/02/09,14:58:16,NULL
192.168.29.168,2.58.149.164,56400,8000,W,PA,TCP,128,70,2022/02/09,14:58:16,[FLAG]
192.168.29.168,224.0.0.22,NULL,NULL,O,NULL,NULL,1,40,2022/02/09,14:58:16,NULL
2.58.149.164,192.168.29.168,8000,56400,O,A,TCP,113,40,2022/02/09,14:58:16,NULL
192.168.29.1,224.0.0.1,NULL,NULL,O,NULL,NULL,1,36,2022/02/09,14:58:16,NULL
NULL,NULL,443,52828,NULL,PA,TCP,NULL,NULL,2022/02/09,14:58:16,[PORT][FLAG]
NULL,NULL,52828,443,NULL,A,TCP,NULL,NULL,2022/02/09,14:58:16,[PORT]
192.168.29.168,224.0.0.22,NULL,NULL,O,NULL,NULL,1,40,2022/02/09,14:58:18,NULL
192.168.29.8,192.168.29.255,138,138,W,NULL,UDP,128,229,2022/02/09,14:58:18,[PORT]
192.168.29.168,224.0.0.22,NULL,NULL,O,NULL,NULL,1,40,2022/02/09,14:58:20,NULL
192.168.29.168,216.239.32.116,52832,443,W,A,TCP,128,41,2022/02/09,14:58:20,[PORT]
216.239.32.116,192.168.29.168,443,52832,O,A,TCP,53,52,2022/02/09,14:58:20,[PORT]
NULL,NULL,56116,443,NULL,NULL,UDP,NULL,NULL,2022/02/09,14:58:20,[PORT]
NULL,NULL,443,56116,NULL,NULL,UDP,NULL,NULL,2022/02/09,14:58:21,[PORT]
NULL,NULL,443,52773,NULL,PA,TCP,NULL,NULL,2022/02/09,14:58:21,[PORT][FLAG]
NULL,NULL,52773,443,NULL,FA,TCP,NULL,NULL,2022/02/09,14:58:21,[PORT][FLAG]
NULL,NULL,443,52773,NULL,FA,TCP,NULL,NULL,2022/02/09,14:58:21,[PORT][FLAG]
NULL,NULL,52773,443,NULL,A,TCP,NULL,NULL,2022/02/09,14:58:22,[PORT]
192.168.29.1,192.168.29.10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2022/02/09,14:58:23,NULL
34.225.43.255,192.168.29.168,443,52876,O,PA,TCP,225,86,2022/02/09,14:58:23,[PORT][FLAG]
34.225.43.255,192.168.29.168,443,52876,O,FPA,TCP,225,71,2022/02/09,14:58:24,[PORT][FLAG]
192.168.29.168,34.225.43.255,52876,443,W,A,TCP,128,40,2022/02/09,14:58:24,[PORT]
192.168.29.168,34.225.43.255,52876,443,W,FA,TCP,128,40,2022/02/09,14:58:25,[PORT][FLAG]
34.225.43.255,192.168.29.168,443,52878,O,PA,TCP,216,86,2022/02/09,14:58:25,[PORT][FLAG]
34.225.43.255,192.168.29.168,443,52878,O,PA,TCP,216,71,2022/02/09,14:58:26,[PORT][FLAG]
34.225.43.255,192.168.29.168,443,52878,O,FA,TCP,216,40,2022/02/09,14:58:26,[PORT][FLAG]
192.168.29.168,34.225.43.255,52878,443,W,A,TCP,128,40,2022/02/09,14:58:26,[PORT]
192.168.29.168,224.0.0.22,NULL,NULL,O,NULL,NULL,1,40,2022/02/09,14:58:26,NULL
34.225.43.255,192.168.29.168,443,52876,O,A,TCP,225,40,2022/02/09,14:58:26,[PORT]
192.168.29.1,192.168.29.10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2022/02/09,14:58:26,NULL
192.168.29.1,192.168.29.212,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2022/02/09,14:58:27,NULL
NULL,NULL,52828,443,NULL,PA,TCP,NULL,NULL,2022/02/09,14:58:27,[PORT][FLAG]
NULL,NULL,443,52828,NULL,A,TCP,NULL,NULL,2022/02/09,14:58:29,[PORT]
NULL,NULL,55682,53,NULL,NULL,UDP,NULL,NULL,2022/02/09,14:58:29,NULL
NULL,NULL,52098,53,NULL,NULL,UDP,NULL,NULL,2022/02/09,14:58:29,NULL
NULL,NULL,50453,53,NULL,NULL,UDP,NULL,NULL,2022/02/09,14:58:29,NULL
NULL,NULL,53,52098,NULL,NULL,UDP,NULL,NULL,2022/02/09,14:58:29,NULL
NULL,NULL,53,55682,NULL,NULL,UDP,NULL,NULL,2022/02/09,14:58:29,NULL
NULL,NULL,53,50453,NULL,NULL,UDP,NULL,NULL,2022/02/09,14:58:29,NULL
