Sourceip,Destinationip,Sourceport,Destinationport,OS,Flags,Protocol,TTL,Length,Date,Time,Comments
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2022/02/11,10:28:36,NULL
192.168.1.2,192.168.1.1,65359,53,W,NULL,UDP,128,78,2022/02/11,10:28:50,NULL
192.168.1.1,192.168.1.2,53,65359,L,NULL,UDP,64,165,2022/02/11,10:28:50,NULL
192.168.1.2,40.91.80.89,63395,443,W,S,TCP,128,52,2022/02/11,10:28:50,[PORT]
40.91.80.89,192.168.1.2,443,63395,O,SA,TCP,107,52,2022/02/11,10:28:51,[PORT]
192.168.1.2,40.91.80.89,63395,443,W,A,TCP,128,40,2022/02/11,10:28:51,[PORT]
192.168.1.2,40.91.80.89,63395,443,W,PA,TCP,128,257,2022/02/11,10:28:52,[PORT][FLAG]
40.91.80.89,192.168.1.2,443,63395,O,A,TCP,107,1500,2022/02/11,10:28:53,[PORT]
40.91.80.89,192.168.1.2,443,63395,O,PA,TCP,107,1011,2022/02/11,10:28:53,[PORT][FLAG]
192.168.1.2,40.91.80.89,63395,443,W,A,TCP,128,40,2022/02/11,10:28:54,[PORT]
192.168.1.2,40.91.80.89,63395,443,W,PA,TCP,128,198,2022/02/11,10:28:54,[PORT][FLAG]
192.168.1.2,192.168.1.1,55362,53,W,NULL,UDP,128,77,2022/02/11,10:28:55,NULL
192.168.1.1,192.168.1.2,53,55362,L,NULL,UDP,64,211,2022/02/11,10:28:55,NULL
192.168.1.2,52.140.118.28,63396,443,W,S,TCP,128,52,2022/02/11,10:28:55,[PORT]
40.91.80.89,192.168.1.2,443,63395,O,PA,TCP,107,91,2022/02/11,10:28:55,[PORT][FLAG]
40.91.80.89,192.168.1.2,443,63395,O,PA,TCP,107,109,2022/02/11,10:28:56,[PORT][FLAG]
192.168.1.2,40.91.80.89,63395,443,W,A,TCP,128,40,2022/02/11,10:28:56,[PORT]
192.168.1.2,40.91.80.89,63395,443,W,PA,TCP,128,127,2022/02/11,10:28:57,[PORT][FLAG]
192.168.1.2,40.91.80.89,63395,443,W,PA,TCP,128,218,2022/02/11,10:28:57,[PORT][FLAG]
192.168.1.2,40.91.80.89,63395,443,W,PA,TCP,128,78,2022/02/11,10:28:58,[PORT][FLAG]
52.140.118.28,192.168.1.2,443,63396,O,SA,TCP,110,52,2022/02/11,10:28:58,[PORT]
192.168.1.2,52.140.118.28,63396,443,W,A,TCP,128,40,2022/02/11,10:28:58,[PORT]
192.168.1.2,52.140.118.28,63396,443,W,PA,TCP,128,256,2022/02/11,10:28:58,[PORT][FLAG]
52.140.118.28,192.168.1.2,443,63396,O,A,TCP,110,1500,2022/02/11,10:28:59,[PORT]
