Sourceip,Destinationip,Sourceport,Destinationport,OS,Flags,Protocol,TTL,Length,Date,Time,Comments
192.168.1.3,40.126.17.135,51961,443,W,A,TCP,128,1480,2022/02/12,09:59:33,[PORT]
192.168.1.3,40.126.17.135,51961,443,W,A,TCP,128,1480,2022/02/12,09:59:33,[PORT]
192.168.1.3,40.126.17.135,51961,443,W,A,TCP,128,1480,2022/02/12,09:59:34,[PORT]
192.168.1.3,40.126.17.135,51961,443,W,A,TCP,128,1480,2022/02/12,09:59:35,[PORT]
192.168.1.3,40.126.17.135,51961,443,W,PA,TCP,128,1233,2022/02/12,09:59:36,[PORT]
40.126.17.135,192.168.1.3,443,51961,O,A,TCP,109,40,2022/02/12,09:59:37,NULL
40.126.17.135,192.168.1.3,443,51961,O,A,TCP,109,40,2022/02/12,09:59:37,NULL
40.126.17.135,192.168.1.3,443,51961,O,A,TCP,109,1500,2022/02/12,09:59:37,NULL
40.126.17.135,192.168.1.3,443,51961,O,A,TCP,109,1500,2022/02/12,09:59:37,NULL
40.126.17.135,192.168.1.3,443,51961,O,A,TCP,109,1500,2022/02/12,09:59:37,NULL
40.126.17.135,192.168.1.3,443,51961,O,A,TCP,109,1500,2022/02/12,09:59:37,NULL
40.126.17.135,192.168.1.3,443,51961,O,A,TCP,109,1500,2022/02/12,09:59:37,NULL
40.126.17.135,192.168.1.3,443,51961,O,A,TCP,109,1500,2022/02/12,09:59:37,NULL
40.126.17.135,192.168.1.3,443,51961,O,A,TCP,109,1500,2022/02/12,09:59:37,NULL
40.126.17.135,192.168.1.3,443,51961,O,FPA,TCP,109,986,2022/02/12,09:59:37,NULL
40.126.17.135,192.168.1.3,443,51961,O,A,TCP,109,1500,2022/02/12,09:59:37,NULL
40.126.17.135,192.168.1.3,443,51961,O,A,TCP,109,1500,2022/02/12,09:59:38,NULL
40.126.17.135,192.168.1.3,443,51961,O,A,TCP,109,1500,2022/02/12,09:59:38,NULL
192.168.1.3,40.126.17.135,51961,443,W,A,TCP,128,40,2022/02/12,09:59:38,[PORT]
192.168.1.3,40.126.17.135,51961,443,W,A,TCP,128,52,2022/02/12,09:59:38,[PORT]
192.168.1.3,40.126.17.135,51961,443,W,A,TCP,128,52,2022/02/12,09:59:39,[PORT]
40.126.17.135,192.168.1.3,443,51961,O,A,TCP,109,1500,2022/02/12,09:59:39,NULL
