DateTime,Sourceip,Destinationip,Sourceport,Destinationport,OS,Flags,Protocol,TTL,Length,Comments
14-02-2022 09:08:15,192.168.1.2,77.234.45.81,50849,80,W,A,TCP,128,40,[PORT]
14-02-2022 09:08:15,77.234.45.81,192.168.1.2,80,50849,O,PA,TCP,47,814,[PORT][FLAG]
14-02-2022 09:08:16,192.168.1.2,77.234.45.81,50849,80,W,PA,TCP,128,334,[PORT][FLAG]
14-02-2022 09:08:16,77.234.45.81,192.168.1.2,80,50849,O,A,TCP,47,40,[PORT]
14-02-2022 09:08:17,192.168.1.2,5.62.53.53,50809,80,W,A,TCP,128,41,[PORT]
14-02-2022 09:08:29,5.62.53.53,192.168.1.2,80,50809,O,A,TCP,48,40,[PORT]
14-02-2022 09:08:29,192.168.1.2,204.79.197.200,50914,443,W,S,TCP,128,52,[PORT]
14-02-2022 09:08:30,204.79.197.200,192.168.1.2,443,50914,O,SA,TCP,116,52,[PORT]
14-02-2022 09:08:30,192.168.1.2,204.79.197.200,50914,443,W,A,TCP,128,40,[PORT]
14-02-2022 09:08:31,192.168.1.2,204.79.197.200,50914,443,W,PA,TCP,128,529,[PORT][FLAG]
14-02-2022 09:08:31,204.79.197.200,192.168.1.2,443,50914,O,A,TCP,117,40,[PORT]
14-02-2022 09:08:31,204.79.197.200,192.168.1.2,443,50914,O,PA,TCP,117,190,[PORT][FLAG]
14-02-2022 09:08:32,192.168.1.2,204.79.197.200,50914,443,W,A,TCP,128,40,[PORT]
14-02-2022 09:08:32,192.168.1.2,204.79.197.200,50914,443,W,PA,TCP,128,91,[PORT][FLAG]
14-02-2022 09:08:33,192.168.1.2,204.79.197.200,50914,443,W,PA,TCP,128,127,[PORT][FLAG]
14-02-2022 09:08:33,192.168.1.2,204.79.197.200,50914,443,W,A,TCP,128,1480,[PORT]
14-02-2022 09:08:34,192.168.1.2,204.79.197.200,50914,443,W,PA,TCP,128,258,[PORT][FLAG]
14-02-2022 09:08:34,204.79.197.200,192.168.1.2,443,50914,O,A,TCP,117,40,[PORT]
14-02-2022 09:08:35,204.79.197.200,192.168.1.2,443,50914,O,PA,TCP,117,109,[PORT][FLAG]
14-02-2022 09:08:35,204.79.197.200,192.168.1.2,443,50914,O,A,TCP,117,40,[PORT]
14-02-2022 09:08:36,204.79.197.200,192.168.1.2,443,50914,O,A,TCP,116,52,[PORT]
14-02-2022 09:08:36,204.79.197.200,192.168.1.2,443,50914,O,A,TCP,117,40,[PORT]
14-02-2022 09:08:37,204.79.197.200,192.168.1.2,443,50914,O,PA,TCP,117,78,[PORT][FLAG]
14-02-2022 09:08:37,192.168.1.2,204.79.197.200,50914,443,W,A,TCP,128,40,[PORT]
14-02-2022 09:08:38,192.168.1.2,192.168.1.1,61535,53,W,N,UDP,128,58,[SAFE]
14-02-2022 09:08:43,192.168.1.1,192.168.1.2,53,61535,L,N,UDP,64,206,[SAFE]
14-02-2022 09:08:43,192.168.1.2,204.79.197.200,50915,443,W,S,TCP,128,52,[PORT]
14-02-2022 09:08:43,204.79.197.200,192.168.1.2,443,50915,O,SA,TCP,116,52,[PORT]
14-02-2022 09:08:43,192.168.1.2,204.79.197.200,50915,443,W,A,TCP,128,40,[PORT]
14-02-2022 09:08:44,192.168.1.2,204.79.197.200,50915,443,W,PA,TCP,128,237,[PORT][FLAG]
14-02-2022 09:08:44,204.79.197.200,192.168.1.2,443,50915,O,A,TCP,117,40,[PORT]
14-02-2022 09:08:45,204.79.197.200,192.168.1.2,443,50915,O,A,TCP,117,1500,[PORT]
14-02-2022 09:08:45,204.79.197.200,192.168.1.2,443,50915,O,A,TCP,117,1500,[PORT]
14-02-2022 09:08:46,204.79.197.200,192.168.1.2,443,50915,O,A,TCP,117,1500,[PORT]
14-02-2022 09:08:46,204.79.197.200,192.168.1.2,443,50915,O,A,TCP,117,1500,[PORT]
14-02-2022 09:08:47,204.79.197.200,192.168.1.2,443,50915,O,PA,TCP,117,1235,[PORT][FLAG]
14-02-2022 09:08:48,192.168.1.2,204.79.197.200,50915,443,W,A,TCP,128,40,[PORT]
14-02-2022 09:08:48,192.168.1.2,204.79.197.200,50915,443,W,PA,TCP,128,198,[PORT][FLAG]
14-02-2022 09:08:49,192.168.1.2,204.79.197.200,50915,443,W,PA,TCP,128,127,[PORT][FLAG]
14-02-2022 09:08:50,192.168.1.2,204.79.197.200,50915,443,W,A,TCP,128,1480,[PORT]
14-02-2022 09:08:50,192.168.1.2,204.79.197.200,50915,443,W,PA,TCP,128,827,[PORT][FLAG]
14-02-2022 09:08:51,204.79.197.200,192.168.1.2,443,50915,O,A,TCP,117,40,[PORT]
14-02-2022 09:08:51,204.79.197.200,192.168.1.2,443,50915,O,A,TCP,117,40,[PORT]
14-02-2022 09:08:52,204.79.197.200,192.168.1.2,443,50915,O,PA,TCP,117,366,[PORT][FLAG]
14-02-2022 09:08:52,192.168.1.2,204.79.197.200,50915,443,W,A,TCP,128,40,[PORT]
14-02-2022 09:08:53,204.79.197.200,192.168.1.2,443,50915,O,PA,TCP,117,109,[PORT][FLAG]
14-02-2022 09:08:53,192.168.1.2,204.79.197.200,50915,443,W,A,TCP,128,40,[PORT]
14-02-2022 09:08:54,192.168.1.2,204.79.197.200,50915,443,W,PA,TCP,128,78,[PORT][FLAG]
14-02-2022 09:08:55,204.79.197.200,192.168.1.2,443,50915,O,PA,TCP,117,78,[PORT][FLAG]
14-02-2022 09:08:55,192.168.1.2,204.79.197.200,50915,443,W,A,TCP,128,40,[PORT]
14-02-2022 09:08:55,204.79.197.200,192.168.1.2,443,50915,O,A,TCP,117,40,[PORT]
14-02-2022 09:08:56,204.79.197.200,192.168.1.2,443,50915,O,PA,TCP,117,1345,[PORT][FLAG]
14-02-2022 09:08:56,192.168.1.2,204.79.197.200,50915,443,W,A,TCP,128,40,[PORT]
14-02-2022 09:08:57,204.79.197.200,192.168.1.2,443,50915,O,PA,TCP,117,78,[PORT][FLAG]
14-02-2022 09:08:57,192.168.1.2,204.79.197.200,50915,443,W,A,TCP,128,40,[PORT]
14-02-2022 09:08:58,192.168.1.2,192.168.1.1,50991,53,W,N,UDP,128,82,[SAFE]
14-02-2022 09:08:58,192.168.1.1,192.168.1.2,53,50991,L,N,UDP,64,179,[SAFE]
14-02-2022 09:08:58,192.168.1.2,13.107.5.88,50916,443,W,S,TCP,128,52,[PORT]
14-02-2022 09:08:59,13.107.5.88,192.168.1.2,443,50916,O,SA,TCP,111,52,[PORT]
14-02-2022 09:08:59,192.168.1.2,13.107.5.88,50916,443,W,A,TCP,128,40,[PORT]
14-02-2022 09:09:00,192.168.1.2,13.107.5.88,50916,443,W,PA,TCP,128,261,[PORT][FLAG]
14-02-2022 09:09:00,13.107.5.88,192.168.1.2,443,50916,O,A,TCP,112,40,[PORT]
14-02-2022 09:09:01,13.107.5.88,192.168.1.2,443,50916,O,A,TCP,112,1500,[PORT]
14-02-2022 09:09:01,13.107.5.88,192.168.1.2,443,50916,O,A,TCP,112,1500,[PORT]
14-02-2022 09:09:02,13.107.5.88,192.168.1.2,443,50916,O,A,TCP,112,1500,[PORT]
14-02-2022 09:09:03,13.107.5.88,192.168.1.2,443,50916,O,A,TCP,112,1500,[PORT]
14-02-2022 09:09:04,13.107.5.88,192.168.1.2,443,50916,O,PA,TCP,112,429,[PORT][FLAG]
14-02-2022 09:09:05,192.168.1.2,13.107.5.88,50916,443,W,A,TCP,128,40,[PORT]
14-02-2022 09:09:05,192.168.1.2,13.107.5.88,50916,443,W,PA,TCP,128,198,[PORT][FLAG]
14-02-2022 09:09:06,192.168.1.2,13.107.5.88,50916,443,W,PA,TCP,128,127,[PORT][FLAG]
14-02-2022 09:09:06,192.168.1.2,13.107.5.88,50916,443,W,PA,TCP,128,453,[PORT][FLAG]
14-02-2022 09:09:07,13.107.5.88,192.168.1.2,443,50916,O,A,TCP,112,40,[PORT]
14-02-2022 09:09:07,13.107.5.88,192.168.1.2,443,50916,O,A,TCP,112,40,[PORT]
14-02-2022 09:09:08,13.107.5.88,192.168.1.2,443,50916,O,PA,TCP,112,366,[PORT][FLAG]
14-02-2022 09:09:08,13.107.5.88,192.168.1.2,443,50916,O,PA,TCP,112,109,[PORT][FLAG]
14-02-2022 09:09:09,192.168.1.2,13.107.5.88,50916,443,W,A,TCP,128,40,[PORT]
14-02-2022 09:09:10,192.168.1.2,13.107.5.88,50916,443,W,PA,TCP,128,78,[PORT][FLAG]
14-02-2022 09:09:10,13.107.5.88,192.168.1.2,443,50916,O,PA,TCP,112,78,[PORT][FLAG]
