DateTime,Sourceip,Destinationip,Sourceport,Destinationport,OS,Flags,Protocol,TTL,Length,Comments
13-02-2022 09:01:29,5.62.54.83,192.168.1.3,80,57078,O,A,TCP,48,40,[PORT]
13-02-2022 09:02:03,77.234.45.70,192.168.1.3,80,57081,O,PA,TCP,47,194,[PORT][FLAG]
13-02-2022 09:02:03,77.234.45.70,192.168.1.3,80,57081,O,A,TCP,47,1500,[PORT]
13-02-2022 09:02:03,77.234.45.70,192.168.1.3,80,57081,O,A,TCP,47,1500,[PORT]
13-02-2022 09:02:04,192.168.1.3,77.234.45.70,57081,80,W,A,TCP,128,40,[PORT]
13-02-2022 09:02:36,77.234.45.70,192.168.1.3,80,57081,O,PA,TCP,47,362,[PORT][FLAG]
13-02-2022 09:02:36,192.168.1.3,77.234.45.70,57081,80,W,A,TCP,128,40,[PORT]
13-02-2022 09:02:36,192.168.1.3,77.234.45.70,57081,80,W,PA,TCP,128,334,[PORT][FLAG]
13-02-2022 09:02:37,77.234.45.70,192.168.1.3,80,57081,O,A,TCP,47,40,[PORT]
13-02-2022 09:02:37,192.168.1.3,20.198.162.76,59099,443,W,PA,TCP,128,139,[PORT][FLAG]
13-02-2022 09:02:40,20.198.162.76,192.168.1.3,443,59099,O,PA,TCP,112,209,[PORT][FLAG]
13-02-2022 09:02:41,192.168.1.3,20.198.162.76,59099,443,W,A,TCP,128,40,[PORT]
13-02-2022 09:04:01,192.168.1.3,5.62.54.83,57078,80,W,A,TCP,128,41,[PORT]
13-02-2022 09:04:01,5.62.54.83,192.168.1.3,80,57078,O,A,TCP,48,40,[PORT]
13-02-2022 09:04:35,192.168.1.3,192.168.1.1,56088,53,W,N,UDP,128,59,[SAFE]
13-02-2022 09:04:35,192.168.1.1,192.168.1.3,53,56088,L,N,UDP,64,164,[SAFE]
13-02-2022 09:04:35,192.168.1.3,103.41.21.162,50098,80,W,S,TCP,128,52,[PORT]
13-02-2022 09:04:36,103.41.21.162,192.168.1.3,80,50098,O,SA,TCP,57,52,[PORT]
13-02-2022 09:04:40,192.168.1.3,103.41.21.162,50098,80,W,A,TCP,128,40,[PORT]
13-02-2022 09:04:41,192.168.1.3,103.41.21.162,50098,80,W,PA,TCP,128,122,[PORT][FLAG]
13-02-2022 09:04:41,103.41.21.162,192.168.1.3,80,50098,O,A,TCP,57,40,[PORT]
13-02-2022 09:04:41,103.41.21.162,192.168.1.3,80,50098,O,PA,TCP,57,191,[PORT][FLAG]
13-02-2022 09:04:42,192.168.1.3,103.41.21.162,50098,80,W,FA,TCP,128,40,[PORT][FLAG]
13-02-2022 09:04:42,103.41.21.162,192.168.1.3,80,50098,O,FA,TCP,57,40,[PORT][FLAG]
13-02-2022 09:04:42,192.168.1.3,103.41.21.162,50098,80,W,A,TCP,128,40,[PORT]
