DateTime,Sourceip,Destinationip,Sourceport,Destinationport,OS,Flags,Protocol,TTL,Length,Comments
16-02-2022 09:15:00,13.107.18.254,192.168.1.2,443,61206,O,RA,TCP,113,40,[PORT]
16-02-2022 09:15:02,204.79.197.222,192.168.1.2,443,61202,O,RA,TCP,118,40,[PORT]
16-02-2022 09:15:03,13.107.6.254,192.168.1.2,443,61207,O,RA,TCP,112,40,[PORT]
16-02-2022 09:15:03,131.253.33.254,192.168.1.2,443,61208,O,RA,TCP,115,40,[PORT]
16-02-2022 09:15:07,192.168.1.2,5.62.53.53,61171,443,W,A,TCP,128,41,[PORT]
16-02-2022 09:15:07,5.62.53.53,192.168.1.2,443,61171,O,A,TCP,49,40,[PORT]
16-02-2022 09:15:08,204.79.197.200,192.168.1.2,443,61159,O,RA,TCP,117,40,[PORT]
16-02-2022 09:15:11,192.168.1.2,192.168.1.1,56380,53,W,N,UDP,128,58,[SAFE]
16-02-2022 09:15:11,192.168.1.1,192.168.1.2,53,56380,L,N,UDP,64,206,[SAFE]
16-02-2022 09:15:11,192.168.1.2,204.79.197.200,61228,443,W,S,TCP,128,52,[PORT]
16-02-2022 09:15:11,204.79.197.200,192.168.1.2,443,61228,O,SA,TCP,117,52,[PORT]
16-02-2022 09:15:13,192.168.1.2,204.79.197.200,61228,443,W,A,TCP,128,40,[PORT]
16-02-2022 09:15:13,192.168.1.2,204.79.197.200,61228,443,W,PA,TCP,128,237,[PORT][FLAG]
16-02-2022 09:15:13,204.79.197.200,192.168.1.2,443,61228,O,A,TCP,118,40,[PORT]
16-02-2022 09:15:14,204.79.197.200,192.168.1.2,443,61228,O,A,TCP,118,1500,[PORT]
16-02-2022 09:15:15,192.168.1.2,204.79.197.200,61228,443,W,A,TCP,128,40,[PORT]
16-02-2022 09:15:15,204.79.197.200,192.168.1.2,443,61228,O,A,TCP,118,1500,[PORT]
16-02-2022 09:15:16,204.79.197.200,192.168.1.2,443,61228,O,A,TCP,118,1500,[PORT]
16-02-2022 09:15:16,204.79.197.200,192.168.1.2,443,61228,O,A,TCP,118,1500,[PORT]
16-02-2022 09:15:17,204.79.197.200,192.168.1.2,443,61228,O,PA,TCP,118,1235,[PORT][FLAG]
16-02-2022 09:15:18,192.168.1.2,204.79.197.200,61228,443,W,A,TCP,128,40,[PORT]
16-02-2022 09:15:18,192.168.1.2,204.79.197.200,61228,443,W,PA,TCP,128,198,[PORT][FLAG]
16-02-2022 09:15:19,192.168.1.2,204.79.197.200,61228,443,W,PA,TCP,128,127,[PORT][FLAG]
16-02-2022 09:15:19,192.168.1.2,204.79.197.200,61228,443,W,A,TCP,128,1480,[PORT]
16-02-2022 09:15:20,192.168.1.2,204.79.197.200,61228,443,W,PA,TCP,128,845,[PORT][FLAG]
16-02-2022 09:15:21,204.79.197.200,192.168.1.2,443,61228,O,A,TCP,118,40,[PORT]
16-02-2022 09:15:22,204.79.197.200,192.168.1.2,443,61228,O,PA,TCP,118,366,[PORT][FLAG]
16-02-2022 09:15:22,192.168.1.2,204.79.197.200,61228,443,W,A,TCP,128,40,[PORT]
16-02-2022 09:15:23,204.79.197.200,192.168.1.2,443,61228,O,PA,TCP,118,109,[PORT][FLAG]
16-02-2022 09:15:24,192.168.1.2,204.79.197.200,61228,443,W,A,TCP,128,40,[PORT]
16-02-2022 09:15:24,192.168.1.2,204.79.197.200,61228,443,W,PA,TCP,128,78,[PORT][FLAG]
16-02-2022 09:15:25,204.79.197.200,192.168.1.2,443,61228,O,A,TCP,118,40,[PORT]
16-02-2022 09:15:25,204.79.197.200,192.168.1.2,443,61228,O,PA,TCP,118,78,[PORT][FLAG]
16-02-2022 09:15:26,204.79.197.200,192.168.1.2,443,61228,O,A,TCP,118,40,[PORT]
16-02-2022 09:15:27,192.168.1.2,204.79.197.200,61228,443,W,A,TCP,128,40,[PORT]
16-02-2022 09:15:28,204.79.197.200,192.168.1.2,443,61228,O,A,TCP,118,40,[PORT]
16-02-2022 09:15:28,204.79.197.200,192.168.1.2,443,61228,O,PA,TCP,118,934,[PORT][FLAG]
16-02-2022 09:15:29,192.168.1.2,204.79.197.200,61228,443,W,A,TCP,128,40,[PORT]
16-02-2022 09:15:29,204.79.197.200,192.168.1.2,443,61228,O,PA,TCP,118,491,[PORT][FLAG]
16-02-2022 09:15:30,204.79.197.200,192.168.1.2,443,61228,O,PA,TCP,118,78,[PORT][FLAG]
16-02-2022 09:15:30,192.168.1.2,204.79.197.200,61228,443,W,A,TCP,128,40,[PORT]
16-02-2022 09:15:44,192.168.1.2,192.168.1.1,60930,53,W,N,UDP,128,82,[SAFE]
16-02-2022 09:15:44,192.168.1.1,192.168.1.2,53,60930,L,N,UDP,64,179,[SAFE]
16-02-2022 09:15:44,192.168.1.2,13.107.5.88,61229,443,W,S,TCP,128,52,[PORT]
16-02-2022 09:15:45,13.107.5.88,192.168.1.2,443,61229,O,SA,TCP,111,52,[PORT]
16-02-2022 09:15:45,192.168.1.2,13.107.5.88,61229,443,W,A,TCP,128,40,[PORT]
16-02-2022 09:15:46,192.168.1.2,13.107.5.88,61229,443,W,PA,TCP,128,261,[PORT][FLAG]
