DateTime,Sourceip,Destinationip,Sourceport,Destinationport,OS,Flags,Protocol,TTL,Length,Comments
02-11-2022 09:28:50,192.168.1.2,192.168.1.1,65359,53,W,N,UDP,128,78,[SAFE]
02-11-2022 09:28:50,192.168.1.1,192.168.1.2,53,65359,L,N,UDP,64,165,[SAFE]
02-11-2022 09:28:50,192.168.1.2,40.91.80.89,63395,443,W,S,TCP,128,52,[PORT]
02-11-2022 09:28:51,40.91.80.89,192.168.1.2,443,63395,O,SA,TCP,107,52,[PORT]
02-11-2022 09:28:51,192.168.1.2,40.91.80.89,63395,443,W,A,TCP,128,40,[PORT]
02-11-2022 09:28:52,192.168.1.2,40.91.80.89,63395,443,W,PA,TCP,128,257,[PORT][FLAG]
02-11-2022 09:28:53,40.91.80.89,192.168.1.2,443,63395,O,A,TCP,107,1500,[PORT]
02-11-2022 09:28:53,40.91.80.89,192.168.1.2,443,63395,O,PA,TCP,107,1011,[PORT][FLAG]
02-11-2022 09:28:54,192.168.1.2,40.91.80.89,63395,443,W,A,TCP,128,40,[PORT]
02-11-2022 09:28:54,192.168.1.2,40.91.80.89,63395,443,W,PA,TCP,128,198,[PORT][FLAG]
02-11-2022 09:28:55,192.168.1.2,192.168.1.1,55362,53,W,N,UDP,128,77,[SAFE]
02-11-2022 09:28:55,192.168.1.1,192.168.1.2,53,55362,L,N,UDP,64,211,[SAFE]
02-11-2022 09:28:55,192.168.1.2,52.140.118.28,63396,443,W,S,TCP,128,52,[PORT]
02-11-2022 09:28:55,40.91.80.89,192.168.1.2,443,63395,O,PA,TCP,107,91,[PORT][FLAG]
02-11-2022 09:28:56,40.91.80.89,192.168.1.2,443,63395,O,PA,TCP,107,109,[PORT][FLAG]
02-11-2022 09:28:56,192.168.1.2,40.91.80.89,63395,443,W,A,TCP,128,40,[PORT]
02-11-2022 09:28:57,192.168.1.2,40.91.80.89,63395,443,W,PA,TCP,128,127,[PORT][FLAG]
02-11-2022 09:28:57,192.168.1.2,40.91.80.89,63395,443,W,PA,TCP,128,218,[PORT][FLAG]
02-11-2022 09:28:58,192.168.1.2,40.91.80.89,63395,443,W,PA,TCP,128,78,[PORT][FLAG]
02-11-2022 09:28:58,52.140.118.28,192.168.1.2,443,63396,O,SA,TCP,110,52,[PORT]
02-11-2022 09:28:58,192.168.1.2,52.140.118.28,63396,443,W,A,TCP,128,40,[PORT]
