DateTime,Sourceip,Destinationip,Sourceport,Destinationport,OS,Flags,Protocol,TTL,Length,Comments
15-02-2022 10:14:13,192.168.1.2,117.18.232.200,51574,443,W,A,TCP,128,40,[PORT]
15-02-2022 10:14:21,204.79.197.200,192.168.1.2,443,51572,O,RA,TCP,118,40,[PORT]
15-02-2022 10:15:03,77.234.45.64,192.168.1.2,80,51374,O,PA,TCP,47,194,[PORT][FLAG]
15-02-2022 10:15:03,77.234.45.64,192.168.1.2,80,51374,O,A,TCP,47,1500,[PORT]
15-02-2022 10:15:04,77.234.45.64,192.168.1.2,80,51374,O,A,TCP,47,1500,[PORT]
15-02-2022 10:15:04,192.168.1.2,77.234.45.64,51374,80,W,A,TCP,128,40,[PORT]
15-02-2022 10:15:05,77.234.45.64,192.168.1.2,80,51374,O,PA,TCP,47,288,[PORT][FLAG]
15-02-2022 10:15:14,192.168.1.2,77.234.45.64,51374,80,W,PA,TCP,128,334,[PORT][FLAG]
15-02-2022 10:15:14,77.234.45.64,192.168.1.2,80,51374,O,A,TCP,47,40,[PORT]
15-02-2022 10:15:14,131.253.33.254,192.168.1.2,443,51575,O,RA,TCP,115,40,[PORT]
15-02-2022 10:15:17,117.18.232.200,192.168.1.2,443,51574,O,A,TCP,54,40,[PORT]
15-02-2022 10:15:18,192.168.1.2,117.18.232.200,51574,443,W,A,TCP,128,40,[PORT]
15-02-2022 10:15:18,13.107.246.254,192.168.1.2,443,51576,O,RA,TCP,112,40,[PORT]
15-02-2022 10:15:22,204.79.197.222,192.168.1.2,443,51577,O,RA,TCP,118,40,[PORT]
15-02-2022 10:15:59,192.168.1.2,5.62.54.89,51328,443,W,A,TCP,128,41,[PORT]
15-02-2022 10:15:59,5.62.54.89,192.168.1.2,443,51328,O,A,TCP,48,40,[PORT]
15-02-2022 10:16:12,117.18.232.200,192.168.1.2,443,51574,O,FA,TCP,54,40,[PORT][FLAG]
15-02-2022 10:16:12,192.168.1.2,117.18.232.200,51574,443,W,A,TCP,128,40,[PORT]
15-02-2022 10:16:17,117.18.232.200,192.168.1.2,443,51574,O,PA,TCP,54,104,[PORT][FLAG]
15-02-2022 10:16:17,117.18.232.200,192.168.1.2,443,51574,O,PA,TCP,54,71,[PORT][FLAG]
15-02-2022 10:16:17,192.168.1.2,117.18.232.200,51574,443,W,A,TCP,128,40,[PORT]
15-02-2022 10:17:09,192.168.1.2,192.168.1.1,56357,53,W,N,UDP,128,76,[SAFE]
15-02-2022 10:17:09,192.168.1.2,192.168.1.1,56357,53,W,N,UDP,128,76,[SAFE]
15-02-2022 10:17:09,192.168.1.1,192.168.1.2,53,56357,L,N,UDP,64,199,[SAFE]
15-02-2022 10:17:09,192.168.1.2,20.50.73.10,51584,443,W,S,TCP,128,52,[PORT]
15-02-2022 10:17:09,20.50.73.10,192.168.1.2,443,51584,O,SA,TCP,105,52,[PORT]
15-02-2022 10:17:09,192.168.1.2,20.50.73.10,51584,443,W,A,TCP,128,40,[PORT]
15-02-2022 10:17:10,192.168.1.2,20.50.73.10,51584,443,W,PA,TCP,128,237,[PORT][FLAG]
15-02-2022 10:17:10,20.50.73.10,192.168.1.2,443,51584,O,A,TCP,105,1500,[PORT]
