DateTime,Sourceip,Destinationip,Sourceport,Destinationport,OS,Flags,Protocol,TTL,Length,Comments
12-02-2022 09:58:59,77.234.45.65,192.168.1.3,80,63431,O,PA,TCP,47,194,[SAFE]
12-02-2022 09:58:59,77.234.45.65,192.168.1.3,80,63431,O,A,TCP,47,1500,[SAFE]
12-02-2022 09:58:59,77.234.45.65,192.168.1.3,80,63431,O,A,TCP,47,1500,[SAFE]
12-02-2022 09:58:59,192.168.1.3,77.234.45.65,63431,80,W,A,TCP,128,40,[PORT]
12-02-2022 09:58:59,77.234.45.65,192.168.1.3,80,63431,O,PA,TCP,47,380,[SAFE]
12-02-2022 09:59:01,192.168.1.3,77.234.45.65,63431,80,W,PA,TCP,128,334,[PORT]
12-02-2022 09:59:01,77.234.45.65,192.168.1.3,80,63431,O,A,TCP,47,40,[SAFE]
12-02-2022 09:59:19,192.168.1.3,192.168.1.1,62652,53,W,N,UDP,128,71,[SAFE]
12-02-2022 09:59:20,192.168.1.1,192.168.1.3,53,62652,L,N,UDP,64,294,[SAFE]
12-02-2022 09:59:20,192.168.1.3,5.62.44.219,55588,443,W,S,TCP,128,52,[PORT]
12-02-2022 09:59:20,192.168.1.3,5.62.44.219,51960,443,W,S,TCP,128,52,[PORT]
12-02-2022 09:59:20,5.62.44.219,192.168.1.3,443,55588,O,SA,TCP,48,48,[SAFE]
12-02-2022 09:59:20,192.168.1.3,5.62.44.219,55588,443,W,A,TCP,128,40,[PORT]
12-02-2022 09:59:21,192.168.1.3,5.62.44.219,55588,443,W,PA,TCP,128,557,[PORT]
12-02-2022 09:59:21,5.62.44.219,192.168.1.3,443,51960,O,SA,TCP,48,48,[SAFE]
12-02-2022 09:59:21,192.168.1.3,5.62.44.219,51960,443,W,A,TCP,128,40,[PORT]
12-02-2022 09:59:22,192.168.1.3,5.62.44.219,51960,443,W,PA,TCP,128,557,[PORT]
12-02-2022 09:59:22,5.62.44.219,192.168.1.3,443,55588,O,A,TCP,48,40,[SAFE]
12-02-2022 09:59:22,5.62.44.219,192.168.1.3,443,55588,O,A,TCP,48,1500,[SAFE]
12-02-2022 09:59:22,5.62.44.219,192.168.1.3,443,55588,O,A,TCP,48,1500,[SAFE]
12-02-2022 09:59:22,5.62.44.219,192.168.1.3,443,55588,O,PA,TCP,48,278,[SAFE]
12-02-2022 09:59:22,192.168.1.3,5.62.44.219,55588,443,W,A,TCP,128,40,[PORT]
12-02-2022 09:59:23,5.62.44.219,192.168.1.3,443,51960,O,A,TCP,48,40,[SAFE]
12-02-2022 09:59:24,5.62.44.219,192.168.1.3,443,51960,O,A,TCP,48,1500,[SAFE]
12-02-2022 09:59:24,5.62.44.219,192.168.1.3,443,51960,O,A,TCP,48,1500,[SAFE]
12-02-2022 09:59:24,192.168.1.3,5.62.44.219,51960,443,W,A,TCP,128,40,[PORT]
12-02-2022 09:59:25,5.62.44.219,192.168.1.3,443,51960,O,PA,TCP,48,280,[SAFE]
12-02-2022 09:59:25,192.168.1.3,5.62.44.219,51960,443,W,A,TCP,128,40,[PORT]
12-02-2022 09:59:25,192.168.1.3,5.62.44.219,55588,443,W,PA,TCP,128,166,[PORT]
12-02-2022 09:59:26,192.168.1.3,5.62.44.219,51960,443,W,PA,TCP,128,166,[PORT]
12-02-2022 09:59:26,192.168.1.3,5.62.44.219,55588,443,W,A,TCP,128,1500,[PORT]
12-02-2022 09:59:26,192.168.1.3,5.62.44.219,55588,443,W,A,TCP,128,1500,[PORT]
12-02-2022 09:59:27,192.168.1.3,5.62.44.219,55588,443,W,A,TCP,128,1500,[PORT]
12-02-2022 09:59:28,192.168.1.3,5.62.44.219,55588,443,W,PA,TCP,128,1404,[PORT]
12-02-2022 09:59:28,5.62.44.219,192.168.1.3,443,51960,O,PA,TCP,48,314,[SAFE]
12-02-2022 09:59:29,5.62.44.219,192.168.1.3,443,55588,O,PA,TCP,48,314,[SAFE]
12-02-2022 09:59:29,5.62.44.219,192.168.1.3,443,55588,O,A,TCP,48,40,[SAFE]
12-02-2022 09:59:29,192.168.1.3,5.62.44.219,51960,443,W,A,TCP,128,40,[PORT]
12-02-2022 09:59:29,192.168.1.3,5.62.44.219,55588,443,W,A,TCP,128,40,[PORT]
12-02-2022 09:59:30,5.62.44.219,192.168.1.3,443,55588,O,PA,TCP,48,542,[SAFE]
12-02-2022 09:59:30,192.168.1.3,5.62.44.219,55588,443,W,A,TCP,128,40,[PORT]
12-02-2022 09:59:30,192.168.1.3,192.168.1.1,65381,53,W,N,UDP,128,60,[SAFE]
12-02-2022 09:59:30,192.168.1.1,192.168.1.3,53,65381,L,N,UDP,64,333,[SAFE]
12-02-2022 09:59:30,192.168.1.3,40.126.17.135,51961,443,W,S,TCP,128,52,[PORT]
12-02-2022 09:59:31,40.126.17.135,192.168.1.3,443,51961,O,SA,TCP,109,52,[SAFE]
12-02-2022 09:59:31,192.168.1.3,40.126.17.135,51961,443,W,A,TCP,128,40,[PORT]
