hour,SAFE,PORT,IP,FLAG,MULTIPLE_Com,Flag_F,Flag_A,Flag_P,Flag_R,Flag_S,Flag_U,Flag_N,Flag_Multi,Proto_TCP,Proto_UDP,OS_O,OS_W,OS_L,OS_M,ModeS_IP,ModeD_IP,ModeS_Port,ModeD_Port,Mode_TTL,length,frequency
10,35,230,0,0,0,0,180,0,2,17,0,35,0,439,35,203,255,16,0,192.168.1.2,192.168.1.2,443,443,128,40,474
12,21,139,0,0,0,0,110,0,0,13,0,21,0,254,21,119,148,8,0,192.168.1.2,192.168.1.2,443,443,128,40,275
13,14,94,0,0,0,0,70,0,0,8,0,14,0,189,14,90,106,7,0,192.168.1.2,192.168.1.2,443,443,128,40,203
14,2,0,0,0,0,0,1,0,1,0,0,0,0,2,0,1,1,0,0,192.168.1.3,192.168.1.3,5228,5228,119,40,2
15,17,130,0,0,0,0,103,0,0,8,0,17,0,213,17,103,118,9,0,192.168.1.3,192.168.1.3,443,443,128,40,230
17,11,317,0,0,0,0,293,0,0,7,0,11,7,430,11,298,138,5,0,52.140.118.28,192.168.1.3,443,53254,110,1500,441
