hour,SAFE,PORT,IP,FLAG,MULTIPLE_Com,Flag_F,Flag_A,Flag_P,Flag_R,Flag_S,Flag_U,Flag_N,Flag_Multi,Proto_TCP,Proto_UDP,OS_O,OS_W,OS_L,OS_M,ModeS_IP,ModeD_IP,ModeS_Port,ModeD_Port,Mode_TTL,length,frequency
22,21,3,0,89,0,0,46,0,0,0,0,0,0,118,0,68,50,0,0,142.250.82.149,192.168.1.2,19305,19305,120,40,118
23,1389,195,0,0,0,0,622,0,0,15,0,39,15,1716,39,872,868,15,0,192.168.1.2,192.168.1.2,19305,19305,128,40,1755
