hour,SAFE,PORT,IP,FLAG,MULTIPLE_Com,Flag_F,Flag_A,Flag_P,Flag_R,Flag_S,Flag_U,Flag_N,Flag_Multi,Proto_TCP,Proto_UDP,OS_O,OS_W,OS_L,OS_M,ModeS_IP,ModeD_IP,ModeS_Port,ModeD_Port,Mode_TTL,length,frequency
10,20,194,0,0,0,0,163,0,2,11,0,20,0,335,20,170,175,10,0,192.168.1.2,192.168.1.2,443,443,128,40,355
12,3,341,0,2,0,0,340,0,0,1,0,2,0,4080,2,1982,2099,1,0,192.168.1.2,95.216.188.78,59264,443,128,96,4082
13,19,119,0,0,0,0,98,0,0,8,0,19,0,200,19,97,113,9,0,192.168.1.2,192.168.1.2,443,443,128,40,219
14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,192.168.1.2,192.168.1.2,443,443,112,141,2
15,23,197,0,0,0,0,167,0,0,11,0,23,0,310,23,162,160,11,0,192.168.1.2,192.168.1.2,443,443,128,40,333
17,14,171,0,0,0,0,148,0,2,8,0,14,8,269,14,136,140,7,0,192.168.1.2,192.168.1.2,443,443,128,40,283
