hour,SAFE,PORT,IP,FLAG,MULTIPLE_Com,Flag_F,Flag_A,Flag_P,Flag_R,Flag_S,Flag_U,Flag_N,Flag_Multi,Proto_TCP,Proto_UDP,OS_O,OS_W,OS_L,OS_M,ModeS_IP,ModeD_IP,ModeS_Port,ModeD_Port,Mode_TTL,length,frequency
9,58,48,0,0,0,0,61,0,0,4,0,6,0,100,6,52,51,3,0,192.168.1.3,192.168.1.3,443,443,128,40,106
10,84,72,0,0,0,0,82,0,2,4,0,8,0,148,8,76,76,4,0,192.168.1.3,192.168.1.3,80,443,128,40,156
12,12,97,0,0,0,0,79,0,0,6,0,12,0,169,12,82,93,6,0,192.168.1.3,192.168.1.3,443,443,128,40,181
13,14,771,0,0,0,0,743,0,0,10,0,14,0,881,14,682,206,7,0,103.41.21.153,192.168.1.3,443,64332,57,1500,895
15,5170,2493,0,0,0,0,5019,0,18,30,0,1459,0,6204,1459,5054,2563,46,0,192.168.1.3,192.168.1.3,443,443,57,1500,7663
17,152,2537,0,0,0,0,830,0,9,35,0,1760,35,1473,1760,1836,1348,49,0,192.168.1.3,192.168.1.3,443,443,128,40,3233
