hour,SAFE,PORT,IP,FLAG,MULTIPLE_Com,Flag_F,Flag_A,Flag_P,Flag_R,Flag_S,Flag_U,Flag_N,Flag_Multi,Proto_TCP,Proto_UDP,OS_O,OS_W,OS_L,OS_M,ModeS_IP,ModeD_IP,ModeS_Port,ModeD_Port,Mode_TTL,length,frequency
9,24,175,0,0,0,0,135,0,2,13,0,24,0,344,24,161,196,11,0,192.168.1.2,192.168.1.2,443,443,128,40,368
10,17,107,0,0,0,0,82,0,0,11,0,17,0,195,17,87,118,7,0,192.168.1.2,192.168.1.2,443,443,128,40,212
11,27,153,0,0,0,0,120,0,0,12,0,27,0,283,27,138,160,12,0,192.168.1.2,192.168.1.2,443,443,128,40,310
12,20,157,0,0,0,0,127,0,1,10,0,18,0,274,18,130,152,10,0,192.168.1.3,192.168.1.3,443,443,128,40,292
13,12,318,0,0,0,0,293,0,0,7,0,12,7,431,12,298,140,5,0,52.140.118.28,192.168.1.3,443,53254,110,1500,443
