hour,SAFE,PORT,IP,FLAG,MULTIPLE_Com,Flag_F,Flag_A,Flag_P,Flag_R,Flag_S,Flag_U,Flag_N,Flag_Multi,Proto_TCP,Proto_UDP,OS_O,OS_W,OS_L,OS_M,ModeS_IP,ModeD_IP,ModeS_Port,ModeD_Port,Mode_TTL,length,frequency
9,20,253,0,0,0,0,222,0,2,11,0,20,0,955,20,466,499,10,0,192.168.1.2,192.168.1.2,443,443,128,40,975
10,1,117,0,2,0,0,118,0,0,0,0,0,0,1318,0,641,677,0,0,192.168.1.2,95.216.188.78,59264,443,128,96,1318
11,0,59,0,0,0,0,59,0,0,0,0,0,0,879,0,433,446,0,0,192.168.1.2,95.216.188.78,59264,443,128,96,879
12,2,79,0,0,0,0,77,0,0,1,0,2,0,877,2,424,454,1,0,192.168.1.2,95.216.188.78,59264,443,128,96,879
13,56,514,0,0,0,0,440,0,2,27,0,56,27,1167,56,584,612,27,0,192.168.1.2,192.168.1.2,443,443,128,40,1223
