hour,SAFE,PORT,IP,FLAG,MULTIPLE_Com,Flag_F,Flag_A,Flag_P,Flag_R,Flag_S,Flag_U,Flag_N,Flag_Multi,Proto_TCP,Proto_UDP,OS_O,OS_W,OS_L,OS_M,ModeS_IP,ModeD_IP,ModeS_Port,ModeD_Port,Mode_TTL,length,frequency
9,3,37,0,0,0,0,30,0,0,1,0,3,0,54,3,30,26,1,0,192.168.1.2,192.168.1.2,443,443,128,40,57
10,6,31,0,0,0,0,27,0,0,2,0,6,0,54,6,27,31,2,0,192.168.1.2,192.168.1.2,443,443,128,40,60
11,9,36,0,0,0,0,24,0,0,3,0,9,0,63,9,32,36,4,0,192.168.1.2,192.168.1.2,80,80,128,40,72
12,8,40,0,0,0,0,34,0,0,2,0,8,0,66,8,33,37,4,0,192.168.1.2,192.168.1.2,443,443,128,40,74
13,13,75,0,0,0,0,61,0,0,6,0,13,7,129,13,61,75,6,0,192.168.1.2,192.168.1.2,443,443,128,40,142
