hour,SAFE,PORT,IP,FLAG,MULTIPLE_Com,Flag_F,Flag_A,Flag_P,Flag_R,Flag_S,Flag_U,Flag_N,Flag_Multi,Proto_TCP,Proto_UDP,OS_O,OS_W,OS_L,OS_M,ModeS_IP,ModeD_IP,ModeS_Port,ModeD_Port,Mode_TTL,length,frequency
9,498,1150,0,0,0,0,1239,0,2,26,0,234,0,1596,234,1215,592,23,0,192.168.1.3,192.168.1.3,443,64332,57,1500,1830
10,1760,813,0,0,0,0,1502,0,4,10,0,670,0,1903,670,1728,830,15,0,192.168.1.3,192.168.1.3,443,443,57,1500,2573
11,1797,770,0,0,0,0,1979,0,0,5,0,294,0,2273,294,1778,781,8,0,103.41.21.176,192.168.1.3,443,56927,57,1500,2567
12,1295,902,0,0,0,0,1301,0,14,15,0,425,0,1793,425,1317,876,25,0,192.168.1.3,192.168.1.3,443,443,128,40,2218
13,140,2383,0,0,0,0,793,0,9,33,0,1636,33,1410,1636,1744,1258,44,0,192.168.1.3,192.168.1.3,443,443,128,40,3046
