hour,SAFE,PORT,IP,FLAG,MULTIPLE_Com,Flag_F,Flag_A,Flag_P,Flag_R,Flag_S,Flag_U,Flag_N,Flag_Multi,Proto_TCP,Proto_UDP,OS_O,OS_W,OS_L,OS_M,ModeS_IP,ModeD_IP,ModeS_Port,ModeD_Port,Mode_TTL,length,frequency
10,34,266,0,0,0,0,217,0,2,14,0,34,0,422,34,225,214,17,0,192.168.1.2,192.168.1.2,443,443,128,40,456
11,2,13,0,0,0,0,7,0,0,1,0,2,0,20,2,12,9,1,0,192.168.1.2,192.168.1.2,80,80,128,40,22
12,14,124,0,0,0,0,105,0,1,7,0,14,0,200,14,98,109,7,0,192.168.1.2,192.168.1.2,80,443,128,40,214
13,12,101,0,0,0,0,81,0,0,6,0,12,0,167,12,86,87,6,0,192.168.1.2,192.168.1.2,443,443,128,40,179
14,2,22,0,0,0,0,15,0,0,1,0,2,0,41,2,20,22,1,0,192.168.1.2,192.168.1.2,80,443,128,40,43
15,20,199,0,0,0,0,174,0,0,11,0,20,0,334,20,177,167,10,0,192.168.1.2,192.168.1.2,443,443,128,40,354
16,4,27,0,0,0,0,22,0,0,2,0,4,0,46,4,21,27,2,0,192.168.1.2,192.168.1.2,62707,443,128,40,50
17,10,125,0,0,0,0,113,0,0,5,0,10,5,214,10,114,105,5,0,192.168.1.2,192.168.1.2,443,443,128,40,224
