hour,SAFE,PORT,IP,FLAG,MULTIPLE_Com,Flag_F,Flag_A,Flag_P,Flag_R,Flag_S,Flag_U,Flag_N,Flag_Multi,Proto_TCP,Proto_UDP,OS_O,OS_W,OS_L,OS_M,ModeS_IP,ModeD_IP,ModeS_Port,ModeD_Port,Mode_TTL,length,frequency
9,266,3,0,89,0,0,128,0,0,0,0,1,0,362,1,188,175,0,0,142.250.82.149,192.168.1.2,19305,19305,120,40,363
10,312,0,0,0,0,0,103,0,0,0,0,7,0,305,7,165,147,0,0,142.250.82.149,192.168.1.2,19305,19305,120,40,312
11,312,0,0,0,0,0,113,0,0,0,0,0,0,312,0,172,140,0,0,142.250.82.149,192.168.1.2,19305,19305,120,40,312
12,468,0,0,0,0,0,170,0,0,0,0,0,0,468,0,231,237,0,0,192.168.1.2,142.250.82.149,19305,19305,128,40,468
13,52,195,0,0,0,0,154,0,0,15,0,31,15,387,31,184,219,15,0,192.168.1.2,192.168.1.2,443,443,128,40,418
