hour,SAFE,PORT,IP,FLAG,MULTIPLE_Com,Flag_F,Flag_A,Flag_P,Flag_R,Flag_S,Flag_U,Flag_N,Flag_Multi,Proto_TCP,Proto_UDP,OS_O,OS_W,OS_L,OS_M,ModeS_IP,ModeD_IP,ModeS_Port,ModeD_Port,Mode_TTL,length,frequency
10,10,83,0,0,0,0,73,0,0,4,0,10,0,133,10,70,68,5,0,192.168.1.3,192.168.1.3,80,80,128,40,143
12,18,117,0,0,0,0,93,0,0,8,0,18,0,203,18,102,110,9,0,192.168.1.3,192.168.1.3,443,443,128,40,221
13,14,104,0,0,0,0,83,0,0,7,0,14,0,175,14,86,96,7,0,192.168.1.3,192.168.1.3,443,443,128,40,189
15,12,107,0,0,0,0,87,0,0,6,0,12,0,168,12,90,84,6,0,192.168.1.3,192.168.1.3,443,443,128,40,180
16,8,29,0,0,0,0,17,0,0,4,0,6,0,52,6,25,30,3,0,192.168.1.3,192.168.1.3,443,443,128,40,58
17,24,202,0,0,0,0,171,0,0,10,0,24,10,313,24,163,161,13,0,192.168.1.3,192.168.1.3,443,443,128,40,337
