hour,SAFE,PORT,IP,FLAG,MULTIPLE_Com,Flag_F,Flag_A,Flag_P,Flag_R,Flag_S,Flag_U,Flag_N,Flag_Multi,Proto_TCP,Proto_UDP,OS_O,OS_W,OS_L,OS_M,ModeS_IP,ModeD_IP,ModeS_Port,ModeD_Port,Mode_TTL,length,frequency
9,112,2,0,0,0,0,0,0,0,0,0,114,0,0,114,40,74,0,0,192.168.43.6,142.250.82.149,60819,19305,128,1209,114
10,115,0,0,0,0,0,0,0,0,0,0,115,0,0,115,44,71,0,0,192.168.43.6,142.250.82.149,60819,19305,128,1217,115
11,134,0,0,0,0,0,0,0,0,0,0,134,0,0,134,35,99,0,0,192.168.43.6,142.250.82.149,60819,19305,128,1204,134
12,171,1,0,0,0,0,1,0,0,0,0,171,0,2,171,62,111,0,0,192.168.43.6,142.250.82.149,60819,19305,128,86,173
13,662,106,0,0,0,0,5,0,0,3,0,757,3,14,757,246,521,4,0,192.168.43.6,142.250.82.149,60819,19305,128,86,771
